word,translation,toeic_target,sentence,trans_s
luck,n. 運氣；幸運,初級,1. Sometimes luck plays a big role in success. 2. He had the luck to find a job quickly.,1. 有時運氣在成功中扮演著重要角色。 2. 他很幸運，很快就找到了一份工作。
maintain,v. 保持；保養；主張，堅持,中級,1. It’s important to maintain a healthy lifestyle. 2. The company maintains its equipment regularly. 3. She maintains that she was not at the scene.,1. 保持健康的生活方式很重要。 2. 該公司定期維護設備。 3. 她堅稱自己當時不在現場。
manage,v.管理，經營；處理，應付,中級,1. She manages a team of 10 employees. 2. He managed to finish the project on time. 3. Can you manage without help?,1. 她管理著一個由10名員工組成的團隊。 2. 他按時完成了專案。 3. 你能獨立完成工作嗎？
management,n. 管理；管理階層；處理,中級,1. Good management is key to a successful business. 2. The management decided to increase salaries. 3. Time management is important for students.,1. 良好的管理是企業成功的關鍵。 2. 管理階層決定提高薪資。 3. 時間管理對學生來說很重要。
marriage,n. 結婚,初級,Their marriage lasted for 20 years.,他們的婚姻持續了20年。
mate,n. 同伴，伴侶 v. 交配；配對,初級,1. He’s my best mate since childhood. 2. The bird found its mate during the spring. 3. The animals mate in the spring.,1. 他是我從小到大的摯友。 2. 這隻鳥在春天找到了它的伴侶。 3. 這些動物在春天交配。
material,n. 材料 adj. 實質的；重要的,中級,1. The dress is made of high-quality material. 2. The material evidence was crucial to the case.,1. 這件連身裙由優質面料製成。 2. 物證對案件至關重要。
mature,adj. 成熟的 v. 成熟，長大；（保險、債券）到期,中級,1. She is very mature for her age. 2. These fruits take a few days to mature. 3. The investment will mature in five years.,1. 她年紀雖小，但非常成熟。 2. 這些水果需要幾天才能成熟。 3. 這項投資將在五年後到期。
means,n. 手段；方法,中級,1. Education is a means to success. 2. We must find a means of communication.,1. 教育是通往成功的途徑。 2. 我們必須找到溝通的途徑。
measurement,n. 測量；測量值，尺寸,中級,1. Accurate measurement is essential in science. 2. Her waist measurement is 65 centimeters. 3. Take the room’s measurements before buying furniture.,1. 在科學中，精確測量至關重要。 2. 她的腰圍是65公分。 3. 購買家具前，請先測量房間尺寸。
medical,adj. 醫學的，醫療的，醫用的,中級,She needs medical attention right away.,她需要立即就醫。
melody,n. 旋律,中級,This song has a beautiful melody.,這首歌旋律優美。
membership,n. 會員資格,中級,She applied for membership in the gym.,她申請了健身房會員卡。
mention,v. 提及；說起 n. 提及；說起,中級,1. He didn’t mention anything about the party 2. Her name got a special mention in the speech.,1. 他沒有提到聚會的事。 2. 她的名字在演講中被特別提及。
military,adj. 軍隊的 n. 軍隊,中級,1. They took military action against the rebels. 2. The military is preparing for a possible attack.,1. 他們對叛軍採取了軍事行動。 2. 軍方正在為可能發生的攻擊做準備。
minority,n. 少數,高級,The minority of students preferred online classes over in-person ones.,少數學生喜歡線上課程而不是面授課程。
mixture,n. 混合物,中級,"The cake batter is a mixture of flour, eggs, and sugar.",蛋糕糊是由麵粉、雞蛋和糖混合而成的。
mood,n. 情緒；心境,初級,She’s in a good mood today because she got the job.,她今天心情很好，因為她找到工作了。
mug,n. 杯子,初級,She bought a cute mug with a cat on it.,她買了一個印有貓咪圖案的可愛馬克杯。
musical,adj. 音樂的 n. 歌舞劇；音樂片,初級,1. She has a very musical voice. 2. We went to see a famous musical last night.,1. 她的嗓音非常動聽。 2. 我們昨晚去看了一部著名的音樂劇。
nearby,adj. 附近的 adv. 在附近,初級,"1. There is a nearby supermarket where we can buy groceries. 2. She lives nearby, so we often meet for coffee.",1. 附近有一家超市，我們可以去那裡買菜。 2. 她住在附近，所以我們常常一起喝咖啡。
nerve,n. 神經；勇氣，膽量,中級,1. The doctor explained how the nerves transmit signals to the brain. 2. It took a lot of nerve for him to speak up in the meeting.,1. 醫生解釋了神經如何將訊號傳遞到大腦。 2. 他在會議上發言需要很大的勇氣。
network,n. 網狀系統；電腦網路 v. 建立人脈；用網覆蓋,中級,1. The internet is a global network connecting millions of computers. 2. She attends conferences regularly to network with professionals in her field.,1. 網路是一個連接數百萬台電腦的全球網路。 2. 她定期參加會議，與業內專業人士建立聯繫。
northern,adj. 北方的,初級,They traveled through the northern part of the country.,他們遊歷了該國北部地區。
obvious,adj. 明顯的,中級,It’s obvious that she’s upset about something.,很明顯，她有心事。
occur,v. 發生，出現；(想法)浮現,中級,1. The accident occurred late last night. 2. It didn’t occur to me that she might be lying.,1. 事故發生在昨晚深夜。 2. 我當時根本沒想到她可能會說謊。
official,adj. 官方的；正式的 n. 官員；公務員,中級,1. The official statement was released this morning. 2. A government official visited the disaster area yesterday.,1. 官方聲明於今天上午發布。 2. 一位政府官員昨天視察了災區。
operate,v. 營運；操作,中級,1. The company operates in over 20 countries. 2. He knows how to operate heavy machinery.,1. 該公司業務遍及20多個國家。 2. 他懂得如何操作重型機械。
operator,n. 操作者；接線生；經營者,中級,1. The machine stopped working because the operator made a mistake. 2. She worked as a telephone operator in the 1980s. 3. The tour operator arranged everything for our trip.,1. 機器停止運轉是因為操作員操作失誤。 2. 她在1980年代當過電話接線員。 3. 旅行社為我們的旅行安排好了一切。
organ,n. 器官；機構；風琴,中級,1. The heart is a vital organ in the human body. 2. She plays the organ at church every Sunday. 3. The newspaper is considered the official organ of the party.,1. 心臟是人體重要的器官。 2. 她每週日都在教堂演奏管風琴。 3. 這份報紙被認為是該黨的官方機關報。
organization,n. 組織，團體；安排，籌劃,中級,1. He works for an international organization that helps refugees. 2. The success of the event was due to excellent organization.,1. 他在一個幫助難民的國際組織工作。 2. 這次活動的成功歸功於優秀的組織工作。
origin,n. 起源，由來；出身,中級,1. The origin of the custom is unclear. 2. She is a writer of French origin.,1. 該習俗的起源尚不清楚。 2. 她是一位法裔作家。
painting,n. 圖畫,初級,That painting was created by a famous Italian artist.,那幅畫是一位義大利著名藝術家創作的。
participate,v. 參與,中級,Many students participated in the school sports day.,許多學生參加了學校運動會。
particular,adj. 獨特的，特別的；挑剔的 n. 細節；事項,中級,1. I’m looking for a particular book about history. 2. He’s very particular about his food. 3. Can you give me more particulars about the event?,1. 我在找一本關於歷史的書。 2. 他對食物非常講究。 3. 你能告訴我更多關於這個活動的細節嗎？
password,n. 密碼,初級,Please enter your password to log in.,請輸入密碼登入。
peak,n. 山頂，頂峰；最高點 v. 達到高峰；聳起,中級,1. We reached the peak of the mountain after five hours of hiking. 2. Sales peaked last December during the holiday season. 3. The athlete is in peak condition for the competition.,1. 我們徒步五個小時後到達了山頂。 2. 去年12月假期季期間，銷售額達到最高峰。 3. 這位運動員正處於比賽的最佳狀態。
per,prep. 每，每一；經過，透過,中級,The speed limit is 60 miles per hour.,限速為每小時 60 英里。
personality,n. 個性，性格；人格,中級,1. She has a cheerful personality that makes everyone like her. 2. Your personality plays a big role in how you interact with others.,1. 她個性開朗，人人都喜歡她。 2. 你的性格在你與他人的互動方式中扮演重要角色。
phrase,n. 片語 v. 用言語表達；用詞,中級,1. “Break a leg” is a common phrase used to wish someone good luck. 2. The speaker carefully phrased his argument to avoid offending anyone.,1. 「祝你演出成功」是常用的祝愿語。 2. 說話者措辭謹慎，避免冒犯任何人。
poet,n. 詩人,中級,Shakespeare is one of the most famous poets.,莎士比亞是最著名的詩人之一。
poetry,n. 詩,中級,She enjoys reading poetry in her free time.,她閒暇時喜歡讀詩。
policeman/cop,n. 警察,初級,The policeman helped the lost child.,警察幫助了走失的孩子。
policy,n. 政策，方針,高級,The company has a strict policy on internet usage.,公司對網路使用有嚴格的規定。
port,n. 港口；左舷 v.轉運，搬運(電腦程式等移植),中級,1. The ship arrived safely at the port last night. 2. The developers ported the game from PC to mobile devices.,1. 這艘船昨晚安全抵達港口。 2. 開發人員將遊戲從PC平台移植到了行動裝置。
pose,v. 擺姿勢；提出 n. 姿勢,中級,1. The model posed for the photographer in front of the sunset. 2. The new law poses a challenge to small businesses. 3. She held a graceful pose during the dance performance.,1. 模特兒在夕陽下擺姿勢讓攝影師拍照。 2. 新法對小型企業構成挑戰。 3. 她在舞蹈表演中保持著優雅的姿勢。
possibility,n. 可能性，機會,中級,There is a possibility of rain tomorrow.,明天有可能下雨。
post,n. 崗位，職位；郵局 v. 郵寄；貼出，發布；分發 adv. 後面,中級,1. He was assigned to a new post in the marketing department. 2. She sent the letter by post yesterday. 3. They posted the job advertisement online.,1. 他被調到行銷部的新職位。 2. 她昨天把信寄出去了。 3. 他們把徵才廣告發佈到網路上。
powerful,adj. 強健的；強而有力的；有影響力的,中級,1. The president is one of the most powerful people in the country. 2. She gave a powerful speech that inspired everyone.,1. 總統是這個國家最有權力的人之一。 2. 她發表了一篇鼓舞人心的演講，激勵了所有人。
prayer,n. 祈禱，禱告,初級,She said a prayer for her family’s health and happiness.,她為家人的健康和幸福祈禱。
prefer,v. 較喜歡，偏好，寧願選擇,初級,I prefer tea to coffee in the morning.,早上我更喜歡喝茶而不是咖啡。
press,v. 壓；催促，逼迫 n. 報刊；新聞界,中級,1. Please press the button to start the machine. 2. The manager pressed him to finish the report by Friday. 3. The reporter works for the local press.,1. 請按下按鈕啟動機器。 2. 經理催促他週五前完成報告。 3. 這位記者在當地報社工作。
pride,n. 自豪，得意 v. 以...為榮,中級,1. She takes great pride in her work. 2. He prides himself on being punctual.,1. 她對自己的工作感到非常自豪。 2. 他以自己守時為榮。
prince/princess,n. 王子/公主,初級,The prince lives in a large castle.,王子住在一座大城堡裡。
prison,n. 監獄,中級,He was sent to prison for five years.,他被判入獄五年。
prisoner,n. 囚犯,中級,The prisoner was released after serving ten years.,這名囚犯服刑十年後獲釋。
proper,adj. 適合的；正確的,中級,1. Please wear proper clothes to the interview. 2. It’s important to use proper grammar when writing.,1. 請穿著得體服裝參加面試。 2. 寫作時使用正確的文法非常重要。
propose,v. 提議，建議；求婚,中級,1. He proposed a new plan to improve the company’s sales. 2. He nervously proposed to his girlfriend last night.,1. 他提出了一個提高公司銷售額的新方案。 2. 昨晚他緊張地向女友求婚了。
protective,adj. 保護的,中級,Parents often have a protective attitude toward their children.,父母通常對自己的孩子抱持保護欲。
prove,v. 證明,中級,The scientist proved his theory with multiple experiments.,這位科學家透過多個實驗證明了他的理論。
pudding,n. 布丁,初級,I had chocolate pudding for dessert.,我的甜點是巧克力布丁。
punishment,n. 處罰,中級,The teacher gave him a punishment for being late.,老師因為他遲到而對他進行了懲罰。
pupil,n. 小學生,初級,1. The teacher praised the pupils for their hard work.,老師表揚了學生們的努力學習。
quality,n. 品質 agj. 優質的,中級,1. The quality of this fabric is excellent. 2. They sell quality products at reasonable prices.,1. 這款布料品質非常好。 2. 他們以合理的價格銷售優質產品。
quantity,n. 數量,中級,The factory produces large quantities of shoes every month.,這家工廠每月生產大量鞋子。
railroad/railway,n. 鐵路,中級,The railroad connects the city to the countryside.,鐵路連接城市和鄉村。
range,n. 種類；分布區 v. 排列；變動,中級,1. The price range for these products is quite wide. 2. The mountains form a beautiful range along the coast. 3. The temperature can range from 10 to 30 degrees Celsius.,1. 這些產品的價格範圍很廣。 2. 山脈沿著海岸線綿延，構成了一道美麗的山脈。 3. 氣溫範圍在攝氏10到30度之間。
rapid,adj. 快的,中級,The river’s rapid flow made it dangerous to swim.,河水水流湍急，游泳很危險。
reality,n. 真實性,中級,Sometimes reality is different from what we expect.,有時現實與我們的預期有所不同。
recent,adj. 最近的,初級,The recent news about the project was very encouraging.,最近有關該項目的消息令人鼓舞。
refrigerator/fridge,n. 冰箱,初級,Please store the food in the refrigerator.,請將食物存放在冰箱裡。
regard,n. 注重，關心 v.認為，看待；關心，注重,中級,1. She has a lot of regard for her teachers. 2. Many people regard her as a talented artist. 3. He regards his health as very important.,1. 她非常尊敬她的老師。 2. 許多人認為她是一位才華洋溢的藝術家。 3. 他非常重視自己的健康。
region,n. 地區,中級,This region is known for its beautiful landscapes.,這個地區以其美麗的風景而聞名。
relate,v. 敘述；有關,中級,1. She related the events of the accident to the police. 2. This story relates to the history of the city.,1. 她向警方講述了這起事故經過。 2. 這個故事與這座城市的歷史有關。
relation,n. 關係,中級,The relation between the two countries has improved recently.,兩國關係近期有所改善。
religion,n. 宗教信仰；宗教,中級,1. Freedom of religion is a basic human right. 2. Buddhism is one of the major religions in Asia.,1. 宗教自由是一項基本人權。 2. 佛教是亞洲主要宗教之一。
remove,v. 去除，移除,中級,1. Please remove your shoes before entering the house. 2. The stain was hard to remove from the fabric.,1. 請進屋前脫鞋。 2. 布料上的污漬很難去除。
reply,n./v. 答覆，回覆,初級,1. His reply to the question was very clear. 2. She didn’t reply to my message.,1. 他對這個問題的回答非常清楚。 2. 她沒有回覆我的訊息。
require,v. 需求；要求,中級,1. This job requires a lot of patience and attention to detail. 2. The school requires students to wear uniforms.,1. 這份工作需要極大的耐心和細緻的觀察力。 2. 學校要求學生穿著制服。
requirement,n. 需求；必要條件；規定,中級,1. Good communication skills are a requirement for this position. 2. The project meets all the safety requirements.,1. 良好的溝通能力是該職位必備條件。 2. 該項目符合所有安全要求。
respond,v. 回答，回應；做出反應,中級,1. She didn’t respond to my email until two days later. 2. The company quickly responded to customer complaints.,1. 她過了兩天後才回覆我的郵件。 2. 本公司對客戶投訴反應迅速。
riches,n. 財富，財產；豐富的資源,高級,1. He left his homeland in search of fame and riches. 2. The country is known for the natural riches of its forests and rivers.,1. 他離開家鄉去追尋名利。 2. 這個國家以其森林和河流的自然資源而聞名。
rocky,adj. 多岩石的；不穩定的，搖晃的,初級,1. We hiked along a rocky path by the sea. 2. Their relationship had a rocky start but improved over time.,1. 我們沿著海邊一條崎嶇的小路徒步旅行。 2. 他們的關係開始得併不順利，但隨著時間的推移有所改善。
rooster,n. 公雞,初級,The rooster crowed at sunrise.,日出時分，公雞啼鳴。
royal,adj. 王室的；皇家的 n. 王室成員,中級,1. The royal family attended the ceremony. 2. She received a royal welcome when she arrived.,1. 王室成員出席了儀式。 2. 她抵達時受到了王室的熱烈歡迎。
rubber,n. 橡膠；橡皮擦(英式用法) adj. 橡膠製的,初級,"1. The tires are made of strong rubber. 2. In the UK, “rubber” means an eraser used for pencils. 3. She wore rubber boots to walk in the rain.",1. 這些輪胎是用結實的橡膠製成的。 2. 在英國，「rubber」指的是鉛筆橡皮擦。 3. 她穿著橡膠靴在雨中行走。
runner,n. 跑者,初級,He is a professional runner who competes internationally.,他是一名參加國際比賽的職業跑步運動員。
salesperson/salesman,n. 銷售人員,初級,The salesperson helped me choose the right laptop.,銷售人員幫我挑選了合適的筆記型電腦。
saleswoman,n. 女店員,初級,The saleswoman helped me choose the right laptop.,銷售員幫我挑選了合適的筆記型電腦。
salty,adj. 有鹽分的；鹹的,初級,1. The ocean air tastes salty. 2. The soup is too salty; it needs more water.,1. 海風嘗起來有鹹味。 2. 這湯太鹹了，需要加點水。
saw,v. 鋸；鋸開 n. 鋸子,初級,He used a saw to cut the wooden board.,他用鋸子鋸開了木板。
scare,v. 使害怕；恐嚇 n. 驚恐，恐慌；驚嚇,初級,1. The loud noise scared the children. 2. There was a scare about a possible power outage last night.,1. 巨大的噪音嚇到了孩子。 2. 昨晚曾出現可能停電的恐慌。
schedule,n. 時間表；課程表 v. 安排；列入計畫,中級,1. My schedule is very busy this week. 2. We scheduled the meeting for next Monday.,1. 我這週日程很滿。 2. 我們把會議安排在下週一。
seek,v. 追求；尋覓，尋找；尋求,中級,1. Many people seek happiness in their lives. 2. She is seeking advice from her mentor.,1. 許多人都在生活中追求幸福。 2. 她正在向她的導師尋求建議。
selection,n. 選擇,中級,The store offers a wide selection of books.,這家書店提供種類繁多的書籍。
self,n. 自己 adj. 自己的，自我的,初級,1. It’s important to take care of yourself. 2. She has a strong sense of self.,1. 照顧好自己很重要。 2. 她很有自尊心。
sensitive,adj. 敏感的；易受影響的；體貼的,中級,1. He is very sensitive to criticism. 2. This skin cream is for people with sensitive skin. 3. She is sensitive to other people's feelings.,1. 他很在意別人的批評。 2. 這款護膚霜適合敏感肌膚人群使用。 3. 她很在意別人的感受。
separate,adj. 分開的；個別的，獨立的 v. 區分；使分離,中級,1. They have separate bedrooms in the house. 2. Please separate the recyclable materials from the trash.,1. 他們在房子裡有各自獨立的臥室。 2. 請將可回收物與垃圾分開。
settle,v. 安頓；決定，解決,中級,"1. After traveling for years, she decided to settle in a small town. 2. They settled their differences through negotiation.",1. 在多年旅行後，她決定在一個小鎮定居。 2. 他們透過談判解決了分歧。
settlement,n. 解決，和解；殖民地，定居點；結帳,高級,1. The two parties reached a settlement out of court. 2. The early settlers established a settlement by the river.,1. 雙方達成庭外和解。 2. 早期定居者在河邊建立了一個定居點。
sex,n. 性別；性,初級,1. Please indicate your sex on the form male or female. 2. Sex education is important for teenagers.,1. 請在表格中註明您的性別：男或女。 2. 性教育對青少年很重要。
shame,n. 羞恥；恥辱；可惜 v. 使感到羞恥,中級,1. He felt deep shame after lying to his friends. 2. It’s a shame that we couldn’t attend the concert. 3. She tried to shame him into apologizing.,1. 他向朋友說謊後感到非常羞恥。 2. 我們沒能去聽音樂會真是太遺憾了。 3. 她試圖讓他感到羞愧，從而讓他道歉。
shell,n. 殼，外殼；砲彈 v. 剝殼；砲擊,初級,1. The crab has a hard shell for protection. 2. Soldiers found an unexploded shell on the battlefield. 3. She shelled the peanuts before eating them.,1. 螃蟹有堅硬的外殼來保護自己。 2. 士兵在戰場上發現了一枚未爆炸的砲彈。 3. 她吃花生之前先剝了殼。
shock,n./v. 衝擊；震驚,中級,1. The earthquake caused a strong shock that damaged many buildings. 2. The news of his sudden death came as a shock to everyone. 3. The bad news shocked her deeply.,1. 地震引發的強烈震動損壞了許多建築物。 2. 他突然去世的消息令所有人震驚。 3. 這個噩耗讓她深受打擊。
shot,n. 射擊；開槍；投籃,初級,1. She shot the arrow straight into the target. 2. The hunter fired a single shot. 3. He made a three-point shot at the last second.,1. 她一箭正中靶心。 2. 獵人開了一槍。 3. 他在最後一刻投進了三分球。
simply,adv. 簡單地；完全；僅僅，只不過,初級,1. You can solve the problem simply by following the instructions. 2. I simply don’t understand what you mean.,1. 你只需按照說明操作即可解決這個問題。 2. 我完全不明白你的意思。
skilled,adj. 熟練的；有技能的,中級,1. She is a skilled carpenter who can make beautiful furniture. 2. The job requires skilled workers with experience.,1. 她是一位技藝精湛的木匠，能製作漂亮的家具。 2. 這份工作需要有經驗的熟練工人。
slip,n./v. 滑倒；滑行,初級,1. Be careful not to slip on the wet floor.,1. 注意不要在濕滑的地板上滑倒。
slipper(s),n. 拖鞋,初級,She put on her slippers after coming home from work.,她下班回家後穿上了拖鞋。
smooth,adj. 光滑的，平滑的；順利的 v. 使光滑；使平整,初級,1. The table has a smooth surface. 2. The meeting went smoothly without any problems. 3. She smoothed the wrinkles out of the paper.,1. 桌子表面光滑。 2. 會議進行得很順利，沒有任何問題。 3. 她把紙上的褶皺撫平了。
sock(s),n. 短襪,初級,He bought new socks for the winter.,他買了過冬的新襪子。
soft,adj. 柔軟的,初級,This pillow is very soft and comfortable.,這款枕頭非常柔軟舒適。
soil,n. 土壤 v. 弄髒；玷汙,中級,"1. Plants grow best in rich, moist soil. 2. Be careful not to soil your clothes while painting.",1. 植物在肥沃、濕潤的土壤中生長最佳。 2. 粉刷時小心不要弄髒衣服。
solution,n. 解答；解決方法；溶液,中級,1. She finally found the correct solution to the math question. 2. We need a solution to this problem as soon as possible. 3. Saltwater is a solution of salt in water.,1. 她終於找到這道數學題的正確答案了。 2. 我們需要盡快解決這個問題。 3. 鹽水是鹽溶於水的溶液。
somewhat,adv. 有點，稍微，多少有些,中級,I was somewhat surprised by his reaction.,他的反應讓我有些意外。
sort,n. 種類 v. 分類,初級,1. There are all sorts of people at the party. 2. I need to sort these papers before the meeting.,1. 聚會中形形色色的人都有。 2. 開會前我需要整理一下這些文件。
source,n. 來源,中級,The source of the river is high in the mountains.,這條河的源頭在高山上。
southern,adj. 南方的,初級,He lives in the southern part of the country.,他居住在該國南部。
soybean,n. 大豆,初級,Soybeans are an important source of protein.,大豆是重要的蛋白質來源。
spelling,n. 拼字；拼寫,初級,Her spelling is excellent.,她的拼字非常好。
sport,n. 運動 v. 炫耀；遊戲,初級,Soccer is a popular sport around the world.,足球是世界各地都很受歡迎的運動。
stage,n. 階段；舞台 v. 上演；策劃,中級,1. The project is in its final stage. 2. He performed on stage for the first time. 3. The theater group staged a new play last week. 4. The protest was staged by students.,1. 該項目已進入最後階段。 2. 他首次登台演出。 3. 劇團上週上演了一部新劇。 4. 這次抗議活動是由學生組織的。
standard,adj. 標準的 n. 標準,中級,"1. He drives a standard car, not a luxury one. 2. The company maintains high standards of quality.",1. 他開的是普通轎車，不是豪華車。 2. 公司堅持高標準的品質要求。
statement,n. 陳述，聲明；對帳單,中級,1. The politician made a public statement about the issue. 2. I checked my bank statement online yesterday.,1. 這位政治人物就此事發表了公開聲明。 2. 我昨天在網路上查看了我的銀行帳單。
steel,n. 鋼鐵 v. 鋼化；使堅強，鼓起勇氣,中級,1. The bridge is made of strong steel. 2. She steeled herself before giving the speech.,1. 這座橋是用堅固的鋼材建造的。 2. 她在演講前鼓起勇氣，讓自己鎮定下來。
stick,v. 刺；黏住 n. 棒；枝條,初級,1. The thorn stuck in his finger. 2. She stuck the note on the fridge with a magnet. 3. He found a long stick to use as a walking aid.,1. 刺插進了他的手指。 2. 她用磁鐵把紙條貼在冰箱上了。 3. 他找到了一根長棍子當助行器。
stress,n. 壓力 v. 強調,中級,1. Work-related stress can affect your health. 2. He stressed the need for honesty in his speech.,1. 工作壓力會影響你的健康。 2. 他在演講中強調了誠實的重要性。
stretch,n. 伸展；延續 v. 伸縮,中級,1. The road stretches for miles through the countryside. 2. She likes to stretch her muscles before exercising.,1. 這條路綿延數英里，穿過鄉村。 2. 她喜歡在運動前伸展肌肉。
strict,adj. 嚴格的,中級,The teacher is very strict about homework deadlines.,老師對作業截止日期要求非常嚴格。
struggle,n./v. 奮鬥；掙扎,中級,1. She struggled to finish her homework on time. 2. The fish struggled to get free from the net. 3. Life is a constant struggle for many people.,1. 她努力按時完成作業。 2. 魚兒掙扎著想從漁網裡掙脫出來。 3. 對許多人來說，生活是一場持續不斷的鬥爭。
subway(美式)/underground(英式),n. 地鐵,初級,1. I take the subway to work every day. 2. The underground system in London is very extensive.,1. 我每天都搭地鐵上班。 2. 倫敦的地鐵系統非常發達。
suitable,adj. 合適的,中級,This dress is suitable for formal occasions.,這條裙子適合正式場合。
supply,n./v. 供給 n. 供應品；用品,中級,"1. The city has a limited supply of clean water. 2. The company supplies food to local supermarkets. 3.If you're ordering office supplies, please put me down for a box of paper clips and a box of letterhead.",1. 這座城市的清潔水資源有限。 2. 這家公司向當地超市供應食物。 3. 如果您要訂購辦公用品，請幫我預留一盒迴紋針和一盒信紙。
suppose,v. 猜想；假設；以為，認為,中級,1. I suppose it will rain tomorrow. 2. Let's suppose that you win the lottery. 3. He supposed that she was already home.,1. 我想明天會下雨。 2. 假設你中了樂透。 3. 他以為她已經到家了。
surface,n. 表面 v. 顯露；表面處裡；呈現 adj. 表面的,中級,1. The water's surface was calm and clear. 2. Problems began to surface during the meeting. 3. The surface layer of the road needs repairing.,1. 水面平靜清澈。 2. 會議期間開始出現問題。 3. 道路表層需要維修。
survival,n. 生存；倖存；殘存,高級,1. His quick thinking ensured their survival in the wilderness. 2. The doctors fought for the patient’s survival.,1. 他的機智讓他們在荒野中倖存下來。 2. 醫生們盡力挽救病人的生命。
swim,v./n. 游泳,初級,1. I swim in the pool every morning. 2. Let’s go for a swim after lunch.,1. 我每天早上都在游泳池游泳。 2. 午餐後我們去游泳吧。
switch,n. 開關；調節，交換 v. 轉換，交換；開關,中級,1. Press the switch to turn on the light. 2. She switched from tea to coffee in the mornings. 3. Please switch seats with me.,1. 按下開關打開燈。 2. 她早上從喝茶改喝咖啡了。 3. 請和我換座位。
tale,n. 故事,初級,He told us a tale about his adventures at sea.,他給我們講了他海上冒險的故事。
target,n. 目標；靶心 v. 把...作為目標,中級,"1. Our sales target for this month is $50,000. 2. The archer hit the target. 3. The campaign targets young voters.",1. 我們本月的銷售目標是5萬美元。 2. 射箭運動員射中了靶心。 3. 這項競選活動的目標族群是年輕選民。
task,n. 任務 v. 派...任務,中級,My main task today is to finish the report.,我今天的主要任務是完成這份報告。
tax,n. 稅；稅金 v. 向...課稅,中級,1. You must pay income tax every year. 2. The government taxes imported goods.,1. 你每年都必須繳所得稅。 2. 政府對進口商品課稅。
technology,n. 科技；工業技術,中級,1. Modern technology has changed the way we communicate. 2. The company is developing new technology for renewable energy.,1. 現代科技改變了我們的溝通方式。 2. 該公司正在開發再生能源新技術。
teens,n. 青少年,初級,He learned to play the guitar in his teens.,他十幾歲時學會了彈吉他。
terrorism,n. 恐怖主義；恐怖行動,高級,The government is taking strong measures to fight terrorism.,政府正在採取強有力的措施打擊恐怖主義。
terrorist,adj. 恐怖分子,高級,The terrorist was captured by the authorities.,恐怖分子已被當局逮捕。
text,n. 文字；本文 v. 發簡訊,初級,1. I read the text of the speech online. 2. I will text you the details later.,1. 我在網路上閱讀了演講稿。 2. 我稍後會把詳細資料傳簡訊給你。
throughout,prep. 遍布；從頭到尾 adv. 處處；始終,中級,1. The festival was celebrated throughout the city. 2. She worked hard throughout the year.,1. 全城都慶祝了這個節日。 2. 她一年到頭都在努力工作。
thus,adv. 因此，這樣,高級,"The evidence was incomplete, thus the case was dismissed.",由於證據不足，該案被駁回。
tire,v. 疲勞 n. 輪胎,初級,1. Walking long distances can tire you out quickly. 2. My car needs a new tire.,1. 長時間步行會讓人很快感到疲憊。 2. 我的車需要換個新輪胎。
tissue,n. 紙巾，衛生紙；薄織物；薄紙；(身體的)組織,初級,1. Could you pass me a tissue? I need to blow my nose. 2. The doctor took a sample of tissue for testing.,1. 能遞給我一張紙巾嗎？我要擤鼻涕。 2. 醫生取了組織樣本進行化驗。
tone,n. 音調，音色；語氣,中級,Her tone of voice suggested she was upset,她的語氣表明她很沮喪。
tour,n./v. 旅遊；巡迴；參觀；巡演,初級,1. We went on a tour of Italy last summer. 2.The band is going on a world tour next year. 3.They toured Europe by train.,1. 我們去年夏天去義大利旅遊了。 2. 這支樂團明年將進行世界巡迴演出。 3. 他們搭火車遊覽了歐洲。
toward/towards,prep. 朝向；接近；對於,初級,1. She walked toward the door. 2. We are moving towards a cleaner energy future. 3. He has a positive attitude toward his work.,1. 她走向門口。 2. 我們正邁向更清潔的能源未來。 3. 他對工作態度積極。
track,n. 足跡 v. 追蹤,中級,Police are trying to track the suspect.,警方正在追捕嫌疑犯。
trial,n. 試用，試驗；審判，審理；考試，艱難的事,高級,1. You can use the software for a 7-day free trial. 2. The murder case will go to trial next month. 3. Climbing the mountain in winter was a real trial.,1. 您可以免費試用該軟體7天。 2. 這起謀殺案將於下個月開庭審理。 3. 冬季登山真是嚴峻的考驗。
typical,adj. 典型的；一貫的；特有的,中級,1. This painting is typical of his early work. 2. It’s typical of her to be late. 3. The hot and humid weather is typical in summer here.,1. 這幅畫是他早期作品的典型代表。 2. 她常常遲到。 3. 這裡夏季炎熱潮濕的天氣很典型。
unit,n. 單位；單元，組件；(軍事)部隊；(家用)套房，住宅單位,中級,"1. The length is measured in meters, a common unit of measurement. 2. This textbook is divided into ten units. 3. The military unit was deployed overseas. 4. She just bought a new apartment unit downtown.",1. 長度以公尺為單位測量，公尺是常用的長度單位。 2. 這本教科書分為十個單元。 3. 這支部隊被部署到海外。 4. 她剛在市中心買了一間新公寓。
unless,conj. 除非,初級,You won’t pass the exam unless you study hard.,你不努力學習就考不過。
